"date";"server";"position";"name";"race";"points"
"2025-12-31";"R2";"119";"GaArA-Du-DeSeRt";"ABSORBEUR";"215034"
"2025-12-31";"R2";"120";"namCam";"ABSORBEUR";"214528"
"2025-12-31";"R2";"121";"Yan Fanel";"ABSORBEUR";"212441"
"2025-12-31";"R2";"122";"shogun";"ABSORBEUR";"212419"
"2025-12-31";"R2";"123";"Kaio";"CULTISTE";"211371"
"2025-12-31";"R2";"124";"Tulegorn";"CULTISTE";"191484"
"2025-12-31";"R2";"125";"Jinx";"ABSORBEUR";"178696"
"2025-12-31";"R2";"126";"kankuro";"DAMNÉ";"177455"
"2025-12-31";"R2";"127";"dave31";"CULTISTE";"174818"
"2025-12-31";"R2";"128";"belial";"CULTISTE";"172479"
"2025-12-31";"R2";"129";"Zyb";"DAMNÉ";"161885"
"2025-12-31";"R2";"130";"killer8";"CULTISTE";"157727"
"2025-12-31";"R2";"131";"Belzebuth 666";"CULTISTE";"152528"
"2025-12-31";"R2";"132";"moka-san";"CULTISTE";"151780"
"2025-12-31";"R2";"133";"clelia";"CULTISTE";"150658"
"2025-12-31";"R2";"134";"oim007";"ABSORBEUR";"147625"
"2025-12-31";"R2";"135";"Hell";"CULTISTE";"142215"
"2025-12-31";"R2";"136";"RiddickOne";"DAMNÉ";"142114"
"2025-12-31";"R2";"137";"Nina Adria";"DAMNÉ";"138311"
"2025-12-31";"R2";"138";"Quarra";"ABSORBEUR";"138087"
"2025-12-31";"R2";"139";"Terimaku Khan";"ABSORBEUR";"136720"
"2025-12-31";"R2";"140";"Maeelk";"CULTISTE";"132489"
"2025-12-31";"R2";"141";"Cymbilabe";"DAMNÉ";"131722"
"2025-12-31";"R2";"142";"Petros";"DAMNÉ";"127842"
"2025-12-31";"R2";"143";"Sca";"CULTISTE";"124394"
"2025-12-31";"R2";"144";"Isa";"CAPTEUR D’ESPRIT";"120708"
"2025-12-31";"R2";"145";"Némésis21";"DAMNÉ";"114861"
"2025-12-31";"R2";"146";"Matbak";"CAPTEUR D’ESPRIT";"113836"
"2025-12-31";"R2";"147";"Tot3n";"ABSORBEUR";"113807"
"2025-12-31";"R2";"148";"bones";"DAMNÉ";"113801"
"2025-12-31";"R2";"149";"Calhagan";"ABSORBEUR";"95991"
"2025-12-31";"R2";"150";"Goldeneagle";"CULTISTE";"95685"
"2025-12-31";"R2";"151";"Québec-Broue";"SEIGNEUR DES BÊTES";"92361"
"2025-12-31";"R2";"152";"Zangor";"ABSORBEUR";"88516"
"2025-12-31";"R2";"153";"COCOTTE";"DAMNÉ";"87062"
"2025-12-31";"R2";"154";"Sanaria";"SEIGNEUR DES BÊTES";"83622"
"2025-12-31";"R2";"155";"tatchenka";"DAMNÉ";"83522"
"2025-12-31";"R2";"156";"Mimine";"DAMNÉ";"82129"
"2025-12-31";"R2";"157";"petitelfe";"DAMNÉ";"79945"
"2025-12-31";"R2";"158";"Craddoka";"DAMNÉ";"79930"
"2025-12-31";"R2";"159";"BudoShobu";"ABSORBEUR";"77802"
"2025-12-31";"R2";"160";"Torgull";"DAMNÉ";"76886"
"2025-12-31";"R2";"161";"dicken";"CAPTEUR D’ESPRIT";"75891"
